compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity
CMPD_001,255.52757576823382,3.812143978324421,0,8,8,17.95948095779169
CMPD_002,288.7219284025926,2.787411117749647,1,7,8,17.586159518631913
CMPD_003,249.72176942702697,2.5959110387349202,2,3,0,14.034603287489505
CMPD_004,303.25237420058704,4.091297179534944,3,4,1,17.72532396344242
CMPD_005,241.81783775574377,2.510350848481585,4,6,7,15.191403242127022
CMPD_006,326.7003038047929,3.4259032293087426,2,7,4,18.624456350062903
CMPD_007,260.56087812623986,3.3161488368911063,1,4,6,17.373496695412122
CMPD_008,246.82264303915636,3.269924519161796,4,8,0,15.23983217785123
CMPD_009,289.0916011229515,3.6572254111453284,0,9,11,21.01370861775288
CMPD_010,351.3332187503115,3.161203785110774,5,3,9,19.37171577644992
CMPD_011,321.3357736026473,3.697867731232524,3,3,11,18.923713150276143
CMPD_012,242.33057683638103,3.5705777073455973,1,7,4,16.066322288657084
CMPD_013,259.70624197066377,4.549366177025212,3,0,10,16.29415578739953
CMPD_014,288.13198880262877,2.8072953040909354,4,7,11,18.758784094479115
CMPD_015,367.1505948531259,3.5146344919524135,5,4,2,21.46604216927529
CMPD_016,271.83137556093396,3.7156725499388816,2,0,9,18.769129901533223
CMPD_017,272.07344268890415,3.371798722233852,3,3,11,16.605618967714395
CMPD_018,345.8228816064054,2.831462446056081,0,1,11,17.508763440677544
CMPD_019,305.8472161578713,4.128551390327598,1,3,1,18.58577934712483
CMPD_020,331.5900008189622,3.668467165072026,0,7,1,21.244931698214092
CMPD_021,278.18701379472105,2.866551643536703,3,4,8,17.61712269561758
CMPD_022,296.9509245681284,3.71933398127913,5,0,3,16.92661768471345
CMPD_023,339.46895586564733,4.350783035026429,2,6,3,20.85779668821381
CMPD_024,295.654773697926,3.48184203329204,2,0,6,19.28237666894549
CMPD_025,333.6915959257939,3.498893665264719,0,8,9,20.949958927939242
CMPD_026,311.6180190130359,4.28400251552166,4,2,9,18.833458114507284
CMPD_027,268.81112764743244,3.014808009124373,4,2,1,14.072492948810314
CMPD_028,299.51048362961933,4.363776021310341,5,5,2,18.18612176061941
CMPD_029,329.441519768251,3.9864555351841187,2,9,2,22.65024617533272
CMPD_030,320.08248573560655,3.037890518009992,0,5,5,19.79351077728951
CMPD_031,298.79241304737513,3.1658655000779423,0,5,2,18.53751320033763
CMPD_032,243.24856833085502,3.2375935831588554,0,0,10,14.056541274692577
CMPD_033,246.1202555577085,2.583217893006455,3,4,4,14.385594906499593
