compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity
CMPD_001,327.6003438001619,4.229012637782162,3,3,2,12.309593993037879
CMPD_002,290.9591063867944,2.751900422961999,2,6,6,14.36684953330051
CMPD_003,299.5224646499327,3.538491570703577,1,3,3,12.552037811657813
CMPD_004,327.4803095937327,3.5620363628597467,1,8,2,12.233040437715443
CMPD_005,278.3319334903834,2.8627535587504886,4,1,7,10.477486365420553
CMPD_006,290.6403897405599,3.689775152306115,1,5,3,10.864883565224797
CMPD_007,268.31016002082777,4.058123195259062,1,6,10,16.268893337583407
CMPD_008,268.24488837012564,4.254023795709577,0,3,0,12.479696591284192
CMPD_009,272.3825131798236,3.375317949187027,4,5,5,12.200944369956826
CMPD_010,285.22528827499,4.750822517567556,4,6,9,14.02349982772385
CMPD_011,288.45613397480804,2.4710166233016224,1,3,10,16.133036717730114
CMPD_012,308.6589645269514,3.678108354907231,1,7,10,15.19564231284742
CMPD_013,273.263491558743,2.7938528400350724,1,8,0,12.115845998371938
CMPD_014,309.5889802775243,3.5450913187484496,5,0,4,10.559606609920944
CMPD_015,314.55003874569684,3.2390466249474854,2,6,6,12.64209277188069
CMPD_016,285.965334515032,3.7534387281952806,3,8,5,13.398497462435401
CMPD_017,275.8582628274486,3.436559642948903,2,9,1,11.876675190892005
CMPD_018,302.5523709593997,3.087007910986742,4,4,10,13.988760198543233
CMPD_019,293.9124761096867,3.11985452621801,0,1,3,12.488995950075031
CMPD_020,306.61055487820636,4.466229748724777,3,9,10,15.383413665184309
CMPD_021,347.095993087799,3.7217618692312073,0,5,1,15.765094543428503
CMPD_022,302.0591114528315,2.648935646730806,5,6,10,14.413655673282
CMPD_023,280.82308316159606,3.775393867558382,4,1,0,10.311764323769733
CMPD_024,273.27331164173825,3.4026616688210014,5,1,2,9.569081593944126
CMPD_025,274.4339510603525,3.5023005435485697,4,9,2,12.01676120568675
CMPD_026,256.11701078666636,3.9099440769908984,0,9,11,17.04782516461067
CMPD_027,327.98230825036734,4.091613586856423,0,0,6,14.450301823990728
CMPD_028,233.00163541932707,3.0705936360396553,0,3,0,10.218874314001843
CMPD_029,314.6431445315792,3.485129172922308,4,6,8,13.223593488818496
CMPD_030,273.95808279974307,3.226944498630715,1,8,10,11.432939434246386
CMPD_031,284.62784356127645,3.7984310905371315,0,2,5,13.852695928716688
CMPD_032,273.06037075366834,3.3838477531319153,5,6,3,9.734980710220242
CMPD_033,343.37593978926094,3.5146257398509375,3,6,2,13.645201992133952
CMPD_034,300.4894680505733,3.364861619494918,4,6,2,10.729359178125746
CMPD_035,323.71135575128557,3.446940242215334,5,1,1,8.16199729271941
CMPD_036,339.0158057578802,4.352325502964067,2,5,1,12.129985875062381
CMPD_037,304.9021642206721,4.695383082383862,2,1,11,14.393827184250869
CMPD_038,264.13128687434363,3.688546046871238,3,5,9,14.264497241485278
CMPD_039,293.3807174965268,3.4500151100915484,1,9,4,13.633154468348998
CMPD_040,277.73255959301395,2.7021816195551587,0,2,8,15.215222396463746
CMPD_041,284.89487514338106,3.1197909000943134,4,1,1,8.546632095860417
CMPD_042,297.16128622052133,3.436631982107047,5,5,1,9.755952354811509
CMPD_043,295.97533073723207,3.142468389681287,0,1,11,13.988392598882774
CMPD_044,312.3632748306086,3.1950496185640387,5,4,5,12.06563963392667
CMPD_045,316.7191288134146,4.287694737028083,4,1,9,14.345644445386043
CMPD_046,295.9756447120063,3.514395406869241,2,2,1,11.54454423221828
CMPD_047,312.10406754323753,3.5591059957009685,0,2,11,16.141629524114393
CMPD_048,283.51920435193676,3.1629047198308866,3,5,3,11.704304127155336
CMPD_049,339.4433947678951,4.088772362384793,1,5,5,16.061460346342713
CMPD_050,283.0346613534706,3.393710686005716,3,9,4,11.797643233938842
CMPD_051,335.91559453867285,3.2395681674245718,1,2,0,11.455880956587084
CMPD_052,255.71798724684834,2.709624591345279,5,2,5,8.797382244546498
CMPD_053,288.5877822776746,3.469449043124317,0,0,0,10.203263859625459
CMPD_054,290.07065479159183,3.223970999111299,0,6,2,12.631004677096923
CMPD_055,308.3697538424542,4.34228987300845,1,7,9,17.096912351152934
CMPD_056,325.8545040965647,4.421949346000975,2,1,4,12.587895821593548
CMPD_057,262.51814390821414,2.8823597526168627,4,3,9,12.209385389434136
CMPD_058,266.76050873871276,2.9389233810595012,3,9,4,11.190782723261163
CMPD_059,257.94275796851286,3.3618401824367763,5,6,9,11.879717486384457
CMPD_060,339.6055259159525,3.091981052302864,3,7,5,13.09386944496967
CMPD_061,308.9281482839137,3.6087082878433567,3,0,11,12.640934879254448
CMPD_062,267.46886374628633,3.3366882554572164,5,3,9,13.863454034192165
CMPD_063,286.70715378131786,3.6402661702776293,5,5,7,11.329039589037668
CMPD_064,335.45284186984486,4.0080467608234835,0,2,4,14.712036962258164
CMPD_065,291.6564230906629,2.9678892448322465,3,4,10,12.352696059357942
CMPD_066,289.8843558662648,3.9976056112386993,4,9,0,11.278446249670449
CMPD_067,276.5610987953082,3.1356737928399117,4,8,4,12.11894236856865
CMPD_068,269.2502305854371,4.574241424574388,1,2,2,12.651386779751924
CMPD_069,335.4997143132947,4.310487983124694,5,4,3,10.134393230404276
CMPD_070,350.2170476622618,3.4434598320568823,0,7,7,15.66641524226467
CMPD_071,270.44416791637957,3.0182082777349795,4,5,6,10.251302740978474
CMPD_072,342.1482698765436,2.9225670101627084,2,3,10,14.462172447854849
