compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity,aromatic_rings
CMPD_001,249.344844357945,3.944576912393903,0,2,2,10.63353688311055,3
CMPD_002,266.39857732590383,2.939124448572056,3,5,8,10.211731181511347,2
CMPD_003,320.12733744830626,3.116567980997724,4,4,9,14.085793973345611,3
CMPD_004,318.1137156083368,3.5340361346243103,2,3,8,9.723238218753343,2
CMPD_005,288.24369703839403,4.01438449571174,3,3,6,13.237571724498155,1
CMPD_006,269.4670707276914,3.750842522584394,3,4,9,8.423406401253498,0
CMPD_007,269.17789345421966,3.624162571257941,4,1,1,5.460386333423738,0
CMPD_008,288.80195262176056,3.5390588676180084,3,8,6,10.52800777412801,1
CMPD_009,319.3355547493587,3.7001179277633875,0,1,6,16.487002367376757,3
CMPD_010,327.8473707403297,3.600826452564627,0,9,10,16.070333784129772,4
CMPD_011,285.1040479355409,2.985013862611532,5,1,4,10.146036817700782,3
CMPD_012,265.3952272204565,3.523039610816576,1,9,8,11.816812564443016,0
CMPD_013,308.03530913599,2.9631556705411235,3,8,11,11.980524955345127,4
CMPD_014,275.29395088122453,3.5405412714504116,1,2,10,10.973324472188565,2
CMPD_015,284.45242083416395,3.2596760292558793,2,9,2,12.424575087638075,4
CMPD_016,339.75828271311116,4.769690811391431,0,6,3,16.44754934520284,3
CMPD_017,324.81346285697305,3.480052808124144,5,3,0,9.119274647946384,1
CMPD_018,304.73922936754354,2.7978802168692054,2,5,5,10.035885922293202,2
CMPD_019,261.8424299666183,3.4329098946615377,5,3,3,7.742686429541759,3
CMPD_020,306.34189702411976,3.759679372818944,4,9,0,11.618635231769078,2
CMPD_021,331.8797187236258,4.336681973076262,0,6,1,14.112699505904152,4
CMPD_022,288.73099002703395,3.205273800030641,2,0,2,6.015929178351351,0
CMPD_023,340.53342269960143,2.7087860129881802,4,2,8,11.68656406917462,3
CMPD_024,338.7823586855462,3.9084185057154905,2,2,7,11.261309413404055,1
CMPD_025,349.9119849643042,2.8097006470501746,5,0,6,12.485198792046853,4
CMPD_026,309.1572937959406,3.2819222792462575,4,5,10,13.549043648244048,3
CMPD_027,317.6217509941804,3.371189757244503,4,8,11,11.753686790376177,1
CMPD_028,342.4256186499327,3.465183273349946,0,7,3,11.569593338145474,3
CMPD_029,313.4218181120693,3.844582228537168,1,6,0,11.413711551400436,4
CMPD_030,284.9629767662936,3.158182858856806,5,9,7,14.303179031144275,3
CMPD_031,286.5437149041642,3.3631353739166197,5,7,3,10.583303149508758,2
CMPD_032,307.15664861321216,3.4928648235253057,4,5,2,14.25736901805854,4
CMPD_033,261.28315734161345,3.574798978759394,4,8,8,12.27592965969469,3
CMPD_034,295.7022325390742,3.5489135873539612,0,2,9,10.928887617696931,0
CMPD_035,332.89641354690764,3.71800288761129,1,9,3,14.818615716623295,3
CMPD_036,234.26238446504158,3.921919754820869,5,9,3,8.345883296061306,2
CMPD_037,346.03446305383545,3.696317057825484,3,8,8,12.768537326723338,1
CMPD_038,333.6712265610948,3.7267927617546093,3,3,11,9.276681112407028,1
CMPD_039,286.2070615250857,2.708888416626761,1,6,10,10.09299460032425,1
CMPD_040,316.3017248361543,3.5251138495828402,2,8,11,12.453868645615648,0
CMPD_041,300.0944318071898,3.739753774000804,0,1,1,8.631715442145678,2
CMPD_042,336.8997110531605,3.864470597285225,1,1,11,13.832129625954375,4
CMPD_043,329.4804942830982,3.1538246128831027,3,8,4,8.949733636481383,1
CMPD_044,257.99787830450975,3.1704803625556774,4,2,3,10.294273555821523,2
CMPD_045,317.6178724039253,3.212949662358201,3,8,8,11.604766438571225,3
CMPD_046,293.83116439070255,3.7682069499456716,4,4,11,8.273692016447846,0
CMPD_047,302.484977115543,4.016940527462104,0,5,4,9.558524037547713,2
CMPD_048,278.1548429709055,3.296269946354199,4,1,8,8.45145507260956,2
CMPD_049,352.44411207362504,3.9539811568135246,1,7,10,11.90525134080677,4
CMPD_050,331.2018545970773,3.5617399045822973,4,8,8,11.494656316486658,2
CMPD_051,277.806865080811,3.437857111418782,2,1,1,11.96186781760899,4
CMPD_052,259.961681792693,3.3943078850910156,1,5,8,9.14218175580782,0
CMPD_053,288.42982107066456,3.8733056823010785,0,5,2,8.163632475164084,0
CMPD_054,313.0350793827392,3.662788908393535,1,7,3,12.814048798383473,3
CMPD_055,307.20617531838667,4.637912713823819,2,9,0,13.847506069856767,4
CMPD_056,337.5939847430473,3.073887678501338,0,4,0,15.238516013690457,4
CMPD_057,323.6975916654256,3.759050851014988,3,8,0,12.291368956829613,1
CMPD_058,329.0870707725872,3.2353994950942435,2,0,8,10.304918252776982,1
CMPD_059,309.8056620183131,3.0653565065056783,0,8,10,14.499462617459557,3
CMPD_060,258.32103809367027,3.494566431482514,4,9,7,9.56104566164107,0
CMPD_061,294.12904406559295,3.568676239703518,1,6,4,10.567534477745022,1
CMPD_062,331.80269219725994,4.959086777530047,0,3,4,14.945825043363579,2
CMPD_063,298.4543121442606,3.407927092158399,1,2,8,7.001266667171721,0
CMPD_064,315.0927110587124,2.9349106352576584,4,9,2,12.658209935566017,2
CMPD_065,290.437550542616,3.636505358747193,0,5,2,12.03811754844369,4
CMPD_066,269.10564454374463,2.462679981226816,3,0,6,6.668754745853636,0
CMPD_067,296.2996780786167,3.4540216086978672,2,2,8,10.214464787120269,3
CMPD_068,309.2714232909796,3.5080126411475803,0,1,5,12.021548345469181,4
CMPD_069,280.3293684161567,3.8973001914726058,4,8,1,11.969403302596957,4
CMPD_070,292.92866265429996,3.9868111247139235,0,2,0,9.727287460295294,2
CMPD_071,271.81610274042055,3.248215190546141,1,1,1,9.206086070515733,4
CMPD_072,333.5773475269229,3.4246929926850336,5,3,0,6.560836366741578,1
CMPD_073,291.16632727235896,3.1169395846946646,0,1,9,8.06947863820594,0
CMPD_074,343.5826663537855,2.935968722596153,3,0,9,9.05838871350156,1
CMPD_075,345.86243551622726,3.6549473896903173,0,5,8,12.95255849135803,2
CMPD_076,297.5686210583477,2.8632072257017005,2,9,9,14.8502463061804,2
CMPD_077,269.7465380235795,3.2926865497140683,0,7,11,9.62587705500131,0
CMPD_078,237.42306366799988,3.002413020050381,5,9,7,9.664554106774508,4
CMPD_079,255.83888780919625,3.77484159314513,1,9,6,11.137422734430865,3
CMPD_080,258.7849552530402,4.400715049633244,0,1,2,10.136216791207247,2
CMPD_081,341.35408882384513,2.849206008598334,3,8,7,11.804479172190145,0
CMPD_082,303.4747376168084,2.5734907585512152,4,2,1,10.563456102926333,3
CMPD_083,311.6881357227596,3.4375565573249665,0,7,1,14.131614301934068,4
CMPD_084,233.38736973194622,3.5078488979788793,0,7,10,12.5270875046421,2
CMPD_085,264.06100712348217,3.6093296533786488,2,2,9,8.389425443624944,0
CMPD_086,326.6123932933886,3.2768397423828275,3,2,2,12.005745961147563,0
CMPD_087,308.6032233714776,3.399680350587284,5,5,6,8.869687931102504,0
CMPD_088,295.5838416394321,3.683755205270301,4,0,0,9.054316340989216,2
CMPD_089,316.9452707580037,4.020215446322419,1,3,7,14.146796835244807,3
CMPD_090,349.07393418407446,2.5224756148408587,0,0,11,10.696849156051739,0
CMPD_091,293.3687260938885,3.315530280484269,5,2,6,7.326975602182651,4
CMPD_092,302.08109407974206,3.6069043969705317,4,8,3,10.074908704919494,0
CMPD_093,305.7779075619392,3.0410119476946322,1,4,4,12.537213648754754,3
CMPD_094,371.7632890582198,4.36558481588365,5,4,9,10.575969732988614,2
CMPD_095,237.01931206742924,3.1822950598856314,3,3,0,8.244031975962006,0
CMPD_096,320.49669044366425,3.4793536564963587,3,2,3,9.630712278440917,0
CMPD_097,296.5559325372281,3.7780110484211455,4,4,0,12.951607110416422,4
CMPD_098,317.0031517855254,3.2043576055990526,1,3,0,10.495216376121885,4
CMPD_099,280.27882338015826,2.5767134760977912,3,7,9,10.953116024255486,0
CMPD_100,298.5310490742465,3.2856727365417333,4,3,0,8.46000426816539,0
CMPD_101,321.3423173839649,4.01472027796352,3,7,6,16.036225998332192,4
CMPD_102,393.38730603131523,3.3315524366074305,3,5,6,17.428907732971496,3
CMPD_103,324.24108568206213,3.0767828492705105,5,4,3,11.846065366709428,1
CMPD_104,274.5580320590847,3.9628361047513607,5,3,11,10.435923931669983,1
CMPD_105,287.2872095393189,3.3346125519884735,3,3,1,11.811478971271017,0
CMPD_106,286.39757674848437,3.2449195931748913,2,3,11,12.754612312694086,4
CMPD_107,246.13070482109956,3.5747280448316547,5,8,2,8.463005157520223,2
CMPD_108,290.09729424895687,3.885375104809394,1,3,7,10.91279849791835,2
CMPD_109,321.98487245465236,4.690856765866273,4,8,7,13.365805464641939,1
CMPD_110,261.7730364276961,3.9136180538287118,4,9,10,13.463924599664116,3
CMPD_111,331.4544795315178,4.079919983194172,1,5,10,10.447136244154786,1
CMPD_112,314.63324463253014,3.2470169005060723,1,9,5,9.475278293315345,0
CMPD_113,277.97300034086885,2.987065947015262,1,6,9,11.138441400413289,3
CMPD_114,295.7541108798646,3.5311656748095617,1,9,8,13.23871361014827,2
CMPD_115,347.949654229231,3.553584957629798,0,2,10,14.340346379745359,4
CMPD_116,322.006434405176,2.9607436293177014,4,7,11,13.174606914783126,4
CMPD_117,300.26350964694444,3.4123527350479934,0,2,8,8.442274007196014,0
CMPD_118,292.86950049117047,3.6996588008595657,3,0,3,11.35256558495406,1
CMPD_119,302.2982721135498,3.68019669750904,3,9,11,9.764016037762763,0
CMPD_120,284.6470932617309,3.752143926692136,4,4,0,12.872953731199757,4
CMPD_121,236.85751482842954,3.6454823650687214,3,1,0,9.247222877292243,2
CMPD_122,361.26533731604195,3.246495670364972,1,9,11,16.968352171383913,4
CMPD_123,304.65974997598204,3.2430496866755782,0,5,9,11.64667984080817,3
CMPD_124,311.9444179536761,2.900524301003062,1,9,4,12.90527407264186,4
CMPD_125,298.2627675036927,4.392387519592548,3,8,1,13.022490449710203,4
CMPD_126,277.94649597826236,3.5067251823096464,5,0,5,8.599040906279729,3
CMPD_127,294.42226557153685,3.387573472102574,0,3,6,10.547634422145187,1
CMPD_128,252.01815713417068,3.0356039592737707,1,0,0,11.733920098281864,4
CMPD_129,368.3125949415991,4.967828951163889,4,0,5,8.598481393894744,0
CMPD_130,262.9646400473281,2.9633359838885522,1,7,7,10.997810427351911,4
CMPD_131,269.0410114845846,3.285576037196963,5,1,11,6.882105477670182,0
CMPD_132,286.792223868408,3.7079184181430302,3,0,4,9.789759976864211,3
CMPD_133,338.64227174557135,3.8001064828721387,0,7,11,14.479630569453619,4
CMPD_134,300.4352699778796,3.978966027607842,4,3,6,12.30245349554414,3
CMPD_135,262.9159261190861,4.403804253884632,0,2,9,11.591566154483028,3
CMPD_136,337.63015082272017,3.753078827730356,4,3,5,10.884083110944605,1
