compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity
CMPD_001,324.83570765056163,3.3577873603482833,2,4,7,5.5610911763721145
CMPD_002,293.0867849414408,3.5607845263682343,0,5,1,4.468083426981073
CMPD_003,332.3844269050346,4.083051243175277,4,2,8,8.648574792865789
CMPD_004,376.15149282040124,4.053802052034903,3,5,0,6.3356219924097985
CMPD_005,288.2923312638332,1.622330632042909,0,2,7,3.896956513478927
CMPD_006,288.293152152541,2.062174960084877,4,5,3,3.9246981712989393
CMPD_007,378.9606407753696,3.5150352672086598,4,8,3,4.9812419249460005
CMPD_008,338.37173645764545,3.513785950912209,2,2,4,7.201759486211729
CMPD_009,276.5262807032524,3.515047686306048,4,3,7,5.168473260095305
CMPD_010,327.1280021792982,6.852731490654721,4,7,4,9.603491634854079
CMPD_011,276.8291153593769,3.570890510693167,4,9,7,7.104647478149267
CMPD_012,276.71351232148714,4.135565640180599,4,7,9,5.766398882373888
CMPD_013,312.0981135783017,3.9540017634932023,1,6,0,7.822227623929762
CMPD_014,204.3359877671101,3.651391251305798,1,7,9,3.865237998097456
CMPD_015,213.75410837434836,2.6847307553596544,2,4,8,1.8238354530404906
CMPD_016,271.88562353795135,3.7589692204932676,0,8,5,3.8103785710667304
CMPD_017,249.35844398327882,2.227174785462428,4,5,2,5.1371136624334355
CMPD_018,315.71236662976366,2.763181393259991,0,6,7,5.299629597366926
CMPD_019,254.59879622393944,2.5146364521708966,0,4,8,6.234074689842675
CMPD_020,229.38481493323542,3.0818741393863225,2,4,5,4.615114891255782
CMPD_021,373.2824384460777,5.314658566673509,4,2,6,7.586342330070716
CMPD_022,288.71118497567323,1.132734807408252,4,7,0,7.451842776343992
CMPD_023,303.3764102343962,3.6862601903745134,3,3,4,5.410846345465256
CMPD_024,228.76259068932717,1.3872841288103483,0,9,4,5.459072252840989
CMPD_025,272.78086377374086,2.5280681342105664,0,3,9,2.548435190295614
CMPD_026,305.5461294854933,4.088950596967366,1,6,3,5.478515386440831
CMPD_027,242.45032112888487,3.0642800190954627,3,8,5,3.082994024579363
CMPD_028,318.7849009172836,1.9222552220706939,1,3,6,5.797914697073925
CMPD_029,269.9680655040597,2.284696290740032,1,5,8,5.482149919130596
CMPD_030,285.41531251033615,3.679597748934676,1,3,0,5.771127436867521
CMPD_031,269.91466938853017,2.2696333682828636,2,6,5,4.405926146019148
CMPD_032,392.6139092254469,3.216458589581975,2,9,6,9.895488243814917
CMPD_033,299.3251387631033,3.045571839903814,1,3,2,3.5957763041568125
CMPD_034,247.114453552205,2.348399652394183,3,5,7,2.912265760019194
CMPD_035,341.12724560515943,5.143944089325325,0,2,4,8.608134428589004
CMPD_036,238.9578175014489,3.633919022318011,3,8,8,3.8965513813614496
CMPD_037,310.4431797502378,0.9748574133423928,4,6,4,3.9848815075319717
CMPD_038,202.01649380601123,3.1864543147694278,2,2,8,7.9931782161217235
CMPD_039,233.59069755507846,2.338213535231612,0,2,9,6.248312404309291
CMPD_040,309.8430617934562,3.852433334796224,0,2,3,4.791977129206852
CMPD_041,336.92332899977055,2.2074792615672996,4,4,8,6.116243074694777
CMPD_042,308.56841405949854,2.885263558533101,4,8,4,8.493017423689821
CMPD_043,294.217585880588,3.5049872789804573,1,9,9,6.530105608130227
CMPD_044,284.9448152205356,3.8657551941701214,2,7,8,7.365246354282032
CMPD_045,226.07390048162864,1.7997035929442238,2,8,2,5.847914132211416
CMPD_046,264.00778958026456,2.6654987641590515,3,4,3,6.502007791148863
CMPD_047,276.9680614520106,2.525054688839044,1,7,8,5.2817986272696515
CMPD_048,352.8561113109458,2.3466707674262883,1,8,9,5.980250908316416
CMPD_049,317.18091447842306,4.765454240281096,1,2,5,6.24893014683502
CMPD_050,211.84799223186332,3.4049817109609557,1,6,1,5.76065730459018
CMPD_051,316.20419846973977,1.7391160456649548,2,7,6,5.110980615514973
CMPD_052,280.74588597918415,3.917861947054776,2,5,1,5.582325956251826
CMPD_053,266.1538999847021,5.122156197012633,1,5,1,4.908236195614307
CMPD_054,330.5838144420434,4.032465260551147,3,3,0,6.082611903467343
